Name Prefix,First Name,Middle Name,Last Name,Name Suffix,Phonetic First Name,Phonetic Middle Name,Phonetic Last Name,Nickname,File As,E-mail 1 - Label,E-mail 1 - Value,Phone 1 - Label,Phone 1 - Value,Address 1 - Label,Address 1 - Country,Address 1 - Street,Address 1 - Extended Address,Address 1 - City,Address 1 - Region,Address 1 - Postal Code,Address 1 - PO Box,Organization Name,Organization Title,Organization Department,Birthday,Event 1 - Label,Event 1 - Value,Relation 1 - Label,Relation 1 - Value,Website 1 - Label,Website 1 - Value,Custom Field 1 - Label,Custom Field 1 - Value,Notes,Labels
,I - WW 44029090,,WEBER STEPHEN PRODS AUST PTY LTD,,,,,,,,,,+61 1300 301 290,,Australia,,,Rose Park,"142 Fullarton Rd, Rose Park SA 5067, Australia",,,WEBER STEPHEN PRODS AUST PTY LTD,,,,,,,,,https://www.weber.com/AU,,,,
,I - WW 44029090,,WEBER STEPHEN PRODUCTS LLC,,,,,,,,,,+1 847-934-5700,,United States,,,Palatine,"1415 S Roselle Rd, Palatine, IL 60067, USA",,,WEBER STEPHEN PRODUCTS LLC,,,,,,,,,https://www.weber.com/,,,,
,I - WW 44029090,,WB HARDWARE BUILDING SUPPIES PTY LTD,,,,,,,,,,+264 64 461 838,,Namibia,,,Swakopmund,"13 Hidipo Hamutenya St, Swakopmund, Namibia",,,WB HARDWARE BUILDING SUPPIES PTY LTD,,,,,,,,,https://www.wbhardware.com.na/,,,,
,I - WW 44029090,,WARTSILA UK LIMITED,,,,,,,,,,+44 1489 550050,,United Kingdom,,,,"4 Marples Way, Havant PO9 1NX, UK",,,WARTSILA UK LIMITED,,,,,,,,,https://www.wartsila.com/gbr,,,,
,I - WW 44029090,,AL HATIMI TRADING LLC,,,,,,,,,,+971 4 295 5681,,United Arab Emirates,,,دبي,10b Umm Ramool Warehouse No 10 - Warehouse 10 - أم رمول - دبي - United Arab Emirates,,,AL HATIMI TRADING LLC,,,,,,,,,https://www.warriorwps.com/,,,,
,I - WW 44029090,,THERMOS OE,,,,,,,,,,+1 970-565-6138,,United States,,,Cortez,"1835 E Main St, Cortez, CO 81321, USA",,,THERMOS OE,,,,,,,,,https://www.walmart.com/store/966-cortez-co/,,,,
,I - WW 44029090,,NATIVE CHARCOAL,,,,,,,,,,+1 407-396-1141,,United States,,,Kissimmee,"8400 W Irlo Bronson Memorial Hwy, Kissimmee, FL 34747, USA",,,NATIVE CHARCOAL,,,,,,,,,https://www.walgreens.com/locator/walgreens-8400+w+irlo+bronson+memorial+hwy-kissimmee-fl-34747/id=5945,,,,
,I - WW 44029090,,ООО ВСК,,,,,,,,,,+7 495 009-15-75,,Russia,,,Moskva,"Ostrovnaya Ulitsa, 4, Moskva, Russia, 121552",,,ООО ВСК,,,,,,,,,https://www.vsk.ru/,,,,
,I - WW 44029090,,VAE VKN INDUSTRIES PVT LTD,,,,,,,,,,+91 93159 38328,,India,,,New Delhi,"24/5, Sri Ram Rd, Railway Colony, Civil Lines, New Delhi, Delhi, 110054, India",,,VAE VKN INDUSTRIES PVT LTD,,,,,,,,,https://www.voestalpine.com/vaevkn/en/,,,,
,I - WW 44029090,,SYDNEY QUALITY IMPORT PTY LTD,,,,,,,,,,+61 2 9011 8080,,Australia,,,Wetherill Park,"6 Burilda Cl, Wetherill Park NSW 2164, Australia",,,SYDNEY QUALITY IMPORT PTY LTD,,,,,,,,,https://www.vivinimports.com.au/,,,,
,I - WW 44029090,,STC VITA MED LLC,,,,,,,,,,+1 866-558-1744,,United States,,,Aledo,"608 Point Vista Dr, Aledo, TX 76008, USA",,,STC VITA MED LLC,,,,,,,,,https://www.vitamedtech.com/,,,,
,I - WW 44029090,,VITAL ORGANICS,,,,,,,,,,+1 800-938-8482,,United States,,,Palm Harbor,"133 Candy Ln, Palm Harbor, FL 34683, USA",,,VITAL ORGANICS,,,,,,,,,https://www.vitalplanet.com/,,,,
,I - WW 44029090,,VIRAJ PROFILES LTD,,,,,,,,,,+91 22 6276 6200,,India,,,Mumbai,"Ground floor, 1, Western Express Hwy, Gundavali, Andheri East, Mumbai, Maharashtra 400069, India",,,VIRAJ PROFILES LTD,,,,,,,,,https://www.viraj.com/,,,,
,I - WW 44029090,,BODEGAS Y VINEDOS LA CABANA S R L,,,,,,,,,,+56 9 2789 7454,,Chile,,,San Javier de Loncomilla,"Ruta 5, San Javier de Loncomilla, Maule, Chile",,,BODEGAS Y VINEDOS LA CABANA S R L,,,,,,,,,https://www.vinosmensajero.cl/,,,,
,I - WW 44029090,,VINCHEM LTD,,,,,,,,,,+1 973-635-4841,,United States,,,Chatham,"301 Main St B, Chatham, NJ 07928, USA",,,VINCHEM LTD,,,,,,,,,https://www.vinchem.com/,,,,
,I - WW 44029090,,VERDER SCIENTIFIC COMERCIO DE MAQUINAS E EQUIPAMENTOS LTDA,,,,,,,,,,+55 11 4391-4145,,Brazil,,,,"R. Continental, 146 - Jardim do Mar, São Bernardo do Campo - SP, 09750-060, Brazil",,,VERDER SCIENTIFIC COMERCIO DE MAQUINAS E EQUIPAMENTOS LTDA,,,,,,,,,https://www.verder-scientific.com.br/,,,,
,I - WW 44029090,,LTD VERDE,,,,,,,,,,+30 231 053 2202,,Greece,,,,"Kilkis, Oreokastro 570 13, Greece",,,LTD VERDE,,,,,,,,,https://www.verdefashion.gr/,,,,
,I - WW 44029090,,VENT AXIA GROUP LTD,,,,,,,,,,+44 344 856 0590,,United Kingdom,,,,"Fleming Way, Crawley RH10 9YX, UK",,,VENT AXIA GROUP LTD,,,,,,,,,https://www.vent-axia.com/,,,,
,I - WW 44029090,,VENOOKAH GMBH,,,,,,,,,,+49 6105 9969096,,Germany,,,Mörfelden-Walldorf,"Dreieichstraße 7a, 64546 Mörfelden-Walldorf, Germany",,,VENOOKAH GMBH,,,,,,,,,https://www.venookah.com/,,,,
,I - WW 44029090,,VEHRAD TRANSPORT HAULAGE CO LTD,,,,,,,,,,+233 24 433 7515,,Ghana,,,Tema,"Sanyo Rd, Tema, Ghana",,,VEHRAD TRANSPORT HAULAGE CO LTD,,,,,,,,,https://www.vehradtransport.com/,,,,
,I - WW 44029090,,VINTAGE VAULT WINES,,,,,,,,,,+1 707-341-3321,,United States,,,Calistoga,"1124 Lincoln Ave, Calistoga, CA 94515, USA",,,VINTAGE VAULT WINES,,,,,,,,,https://www.vaultcalistoga.wine/,,,,
,I - WW 44029090,,VASHINI EXPORTS,,,,,,,,,,+91 98422 90222,,India,,,Coimbatore,"House No B-303 Vashini, Shriram Vijaya Hyyde Park, Duraisamy Layout, Coimbatore, Tamil Nadu 641004, India",,,VASHINI EXPORTS,,,,,,,,,https://www.vashiniexports.com/,,,,
,I - WW 44029090,,VANGUARD LOGISTICS SERVICES MEXICO,,,,,,,,,,+52 55 5663 4777,,Mexico,,,Ciudad de México,"Av. Insurgentes Sur 1898-Piso 15, Lado B, Florida, Álvaro Obregón, 01030 Ciudad de México, CDMX, Mexico",,,VANGUARD LOGISTICS SERVICES MEXICO,,,,,,,,,https://www.vanguardlogistics.com/,,,,
,I - WW 44029090,,VAMTEC VITORIA SA,,,,,,,,,,+55 27 3038-4600,,Brazil,,,,"R. jony joão de deus, 46 - Enseada do Suá, Vitória - ES, 29050-350, Brazil",,,VAMTEC VITORIA SA,,,,,,,,,https://www.vamtecgroup.com/,,,,
,I - WW 44029090,,VALE AMERICAS INC,,,,,,,,,,+1 786-858-1867,,United States,,,Miami,"11860 SW 144th Ct, Miami, FL 33186, USA",,,VALE AMERICAS INC,,,,,,,,,https://www.valesan.miami/contacto,,,,
,I - WW 44029090,,VALE MANGANES SA,,,,,,,,,,+55 94 98138-3532,,Brazil,,,,"Ac. Sibra, 2-362 - Lot. Recanto dos Eucaliptos, Simões Filho - BA, 43700-000, Brazil",,,VALE MANGANES SA,,,,,,,,,https://www.vale.com/pt/,,,,
,I - WW 44029090,,VOLTA ALUMINIUM COMPANY LIMITED,,,,,,,,,,+233 50 264 8968,,Ghana,,,Tema,"Tema, Ghana",,,VOLTA ALUMINIUM COMPANY LIMITED,,,,,,,,,https://www.valcotema.com/,,,,
,I - WW 44029090,,UNIVERSITY OF TORONTO,,,,,,,,,,+1 416-978-2011,,Canada,,,Toronto,"27 King's College Cir, Toronto, ON M5S 1A1, Canada",,,UNIVERSITY OF TORONTO,,,,,,,,,https://www.utoronto.ca/,,,,
,I - WW 44029090,,M S USMAN CHEMICAL,,,,,,,,,,+1 713-725-0118,,United States,,,Houston,"1717 Turning Basin Dr, Houston, TX 77029, USA",,,M S USMAN CHEMICAL,,,,,,,,,https://www.usmarinechem.com/,,,,
,I - WW 44029090,,SULIMAN HIGHTECH,,,,,,,,,,+1 214-519-3582,,United States,,,Irving,"4956 N O'Connor Rd, Irving, TX 75062, USA",,,SULIMAN HIGHTECH,,,,,,,,,https://www.ushitecsolutions.com/contact,,,,
,I - WW 44029090,,OOO PHILIPS,,,,,,,,,,+1 800-228-4728,,United States,,,San Diego,"3721 Valley Centre Dr #500, San Diego, CA 92130, USA",,,OOO PHILIPS,,,,,,,,,https://www.usa.philips.com/healthcare/solutions/interventional-devices-and-therapies,,,,
,I - WW 44029090,,UPM,,,,,,,,,,+1 503-352-7860,,United States,,,Hillsboro,"3000 NE Stucki Ave Ste 230, Hillsboro, OR 97124, USA",,,UPM,,,,,,,,,https://www.upm.ai/,,,,
,I - WW 44029090,,JEFFREY JELEEL,,,,,,,,,,+1 210-358-7600,,United States,,,San Antonio,"4502 Medical Dr, San Antonio, TX 78229, USA",,,JEFFREY JELEEL,,,,,,,,,https://www.universityhealth.com/providers/k/judianne-kellaway-1689655755?utm_source=Yext&utm_medium=online_listing_provider&utm_campaign=UH_Digital&utm_content=Judianne_Kellaway,,,,
,I - WW 44029090,,UNIVERSAL MARKETING,,,,,,,,,,+1 847-697-7207,,United States,,,Elgin,"956 Dundee Ave, Elgin, IL 60120, USA",,,UNIVERSAL MARKETING,,,,,,,,,https://www.universalmarketingllc.com/,,,,
,I - WW 44029090,,UNIVAR USA INC C O GS E,,,,,,,,,,+1 904-693-4815,,United States,,,Jacksonville,"155 Ellis Rd S, Jacksonville, FL 32254, USA",,,UNIVAR USA INC C O GS E,,,,,,,,,https://www.univarsolutions.com/,,,,
,I - WW 44029090,,UNITED BANKING SUPPLIES INC,,,,,,,,,,+1 925-476-1880,,United States,,,Walnut Creek,"500 Ygnacio Valley Rd #130, Walnut Creek, CA 94596, USA",,,UNITED BANKING SUPPLIES INC,,,,,,,,,https://www.unitedbusinessbank.com/,,,,
,I - WW 44029090,,UNIPAR INDUPA DO BRASIL SA,,,,,,,,,,+55 11 4439-8822,,Brazil,,,,"KM 38 EFSJ Vila Elclor - Campo Grande, Rio Grande da Serra - SP, 09154-900, Brazil",,,UNIPAR INDUPA DO BRASIL SA,,,,,,,,,https://www.unipar.com/contato/,,,,
,I - WW 44029090,,ЦЕНТРАЛЬНЫЙ БАНК РУЗ,,,,,,,,,,+1 213-236-7289,,United States,,,Los Angeles,"445 S Figueroa St # 1100, Los Angeles, CA 90071, USA",,,ЦЕНТРАЛЬНЫЙ БАНК РУЗ,,,,,,,,,https://www.unionbank.com/,,,,
,I - WW 44029090,,UNIVERSITY OF MILAN,,,,,,,,,,+39 02 5032 5032,,Italy,,,Milano,"Via Festa del Perdono, 7, 20122 Milano MI, Italy",,,UNIVERSITY OF MILAN,,,,,,,,,https://www.unimi.it/it,,,,
,I - WW 44029090,,UNIVERSITY OF ILORIN KWARA STATE,,,,,,,,,,+234 810 565 7675,,Nigeria,,,Ilorin,"P.M.B, 1515, Ilorin 240102, Kwara, Nigeria",,,UNIVERSITY OF ILORIN KWARA STATE,,,,,,,,,https://www.unilorin.edu.ng/,,,,
,I - WW 44029090,,OOO UNILEVER RUS,,,,,,,,,,+7 812 718-43-00,,Russia,,,Sankt-Peterburg,"Progonnaya Ulitsa, 1, Sankt-Peterburg, Russia, 192102",,,OOO UNILEVER RUS,,,,,,,,,https://www.unilever.ru/about/official-information/,,,,
,I - WW 44029090,,UNIVERSIDAD NACIONAL DE INGENIERIA UNI,,,,,,,,,,+51 981 603 179,,Peru,,,Rímac,"Av. Túpac Amaru 210, Rímac 15333, Peru",,,UNIVERSIDAD NACIONAL DE INGENIERIA UNI,,,,,,,,,https://www.uni.edu.pe/,,,,
,I - WW 44029090,,PRIMADIS MOLDOVA,,,,,,,,,,+373 22 220 045,,Moldova,,,Chișinău,"Strada 31 August 1989 131, Chișinău, Moldova",,,PRIMADIS MOLDOVA,,,,,,,,,https://www.undp.org/moldova,,,,
,I - WW 44029090,,DANIEL MATTE,,,,,,,,,,+1 706-736-5202,,United States,,,Augusta,"257 Robert C Daniel Jr Pkwy, Augusta, GA 30909, USA",,,DANIEL MATTE,,,,,,,,,https://www.ulta.com/stores/augusta-ga-530,,,,
,I - WW 44029090,,UDELHOVEN OILFIELD SYSTEM SERVICES,,,,,,,,,,+1 830-542-3100,,United States,,,Floresville,"1210 FM537, Floresville, TX 78114, USA",,,UDELHOVEN OILFIELD SYSTEM SERVICES,,,,,,,,,https://www.udelhoven.com/,,,,
,I - WW 44029090,,AL SONDOS EST,,,,,,,,,,+1 844-727-8273,,United States,,,San Francisco,"Third and Fourth Floors, 2356 Sutter St, San Francisco, CA 94115, USA",,,AL SONDOS EST,,,,,,,,,https://www.ucsfhealth.org/providers/dr-sondos-al-sad,,,,
,I - WW 44029090,,UNIVERSITY OF AVEIRO,,,,,,,,,,+351 234 370 200,,Portugal,,,Aveiro,"Universidade de Aveiro, 3810-193 Aveiro, Portugal",,,UNIVERSITY OF AVEIRO,,,,,,,,,https://www.ua.pt/,,,,
,I - WW 44029090,,BUTORINA TATYANA VASILYEVNA OF SP,,,,,,,,,,+1 718-683-6773,,United States,,,Miami,"88 SW 7th St #1107, Miami, FL 33130, USA",,,BUTORINA TATYANA VASILYEVNA OF SP,,,,,,,,,https://www.tzluxuryrealestate.com/,,,,
,I - WW 44029090,,DEVON TYSON LLC,,,,,,,,,,+1 239-542-2020,,United States,,,Cape Coral,"4120 Del Prado Blvd S, Cape Coral, FL 33904, USA",,,DEVON TYSON LLC,,,,,,,,,https://www.tysoneye.com/locations/cape-coral/,,,,
,I - WW 44029090,,TYLER ASSOCIATES,,,,,,,,,,+1 951-600-2733,,United States,,,Murrieta,"25026 Las Brisas Rd, Murrieta, CA 92562, USA",,,TYLER ASSOCIATES,,,,,,,,,https://www.tylerlawllp.com/,,,,
,I - WW 44029090,,CARGO SHIPPING SERVICES,,,,,,,,,,+1 877-489-9184,,United States,,,Houston,"11511 Katy Fwy #320, Houston, TX 77079, USA",,,CARGO SHIPPING SERVICES,,,,,,,,,https://www.txintlfreight.com/,,,,
,I - WW 44029090,,TO THE ORDER OF TURKIYE FINANS KATILIM BANKASI A S,,,,,,,,,,+90 216 676 20 00,,Türkiye,,,,"İnkılap, Sokullu Cd No:6/3, 34768 Ümraniye/İstanbul, Türkiye",,,TO THE ORDER OF TURKIYE FINANS KATILIM BANKASI A S,,,,,,,,,https://www.turkiyefinans.com.tr/,,,,
,I - WW 44029090,,LLC TRUMUM,,,,,,,,,,+1 305-294-9911,,United States,,,Naval Air Station Key West,"111 Front St, Naval Air Station Key West, FL 33040, USA",,,LLC TRUMUM,,,,,,,,,https://www.trumanlittlewhitehouse.org/,,,,
,I - WW 44029090,,LTD,,,,,,,,,,+91 124 424 6560,,India,,,Gurugram,"Digital Greens Emaar Tower-B, Emaar Digital Greens, 1215, Golf Course Ext Rd, Baharampur Naya, Sector 61, Gurugram, Haryana 122011, India",,,LTD,,,,,,,,,https://www.trufrost.com/,,,,
,I - WW 44029090,,TROTTERS CHILDRENSWEAR ACCESSORIES LIMITED,,,,,,,,,,+44 20 7937 9373,,United Kingdom,,,,"139-141 Kensington High St, London W8 6SU, UK",,,TROTTERS CHILDRENSWEAR ACCESSORIES LIMITED,,,,,,,,,https://www.trotters.co.uk/,,,,
,I - WW 44029090,,TRL KROSAKI REFRACTORIES LIMITED,,,,,,,,,,+91 6645 258 333,,India,,,Belpahar,"Belpahar, Odisha 768218, India",,,TRL KROSAKI REFRACTORIES LIMITED,,,,,,,,,https://www.trlkrosaki.com/,,,,
,I - WW 44029090,,TRISTAR SA,,,,,,,,,,+1 561-988-2004,,United States,,,Boca Raton,"950 Peninsula Corp Cir # 2000, Boca Raton, FL 33487, USA",,,TRISTAR SA,,,,,,,,,https://www.tristarmanagement.com/,,,,
,I - WW 44029090,,VENUS CHEMICALS,,,,,,,,,,+1 863-699-5680,,United States,,,Venus,"2832 Old State Rte 8, Venus, FL 33960, USA",,,VENUS CHEMICALS,,,,,,,,,https://www.trianglecc.com/,,,,
,I - WW 44029090,,TRI PRAVILA LLC,,,,,,,,,,+1 636-343-8222,,United States,,,St. Louis,"3505 Tree Court Industrial Blvd, St. Louis, MO 63122, USA",,,TRI PRAVILA LLC,,,,,,,,,https://www.tri-pro.net/,,,,
,I - WW 44029090,,TRELLEBORG SEALING SOLUTIONS UK LIMITED,,,,,,,,,,+44 121 744 1221,,United Kingdom,,,Shirley,"Pegasus House, Business Park, 1 Cranbrook Way, Shirley, Solihull B90 4GT, UK",,,TRELLEBORG SEALING SOLUTIONS UK LIMITED,,,,,,,,,https://www.trelleborg.com/en/seals,,,,
