Role,Product,Name,Country,Phone,Website,E-mail 1,E-mail 2,Last Contact,Status,WA Availability,E-mail Sent
Importer,WW 0303,PROTIGAM FOOD INDUSTRIES SDN BHD,Malaysia,+60 4-331 8593,http://www.protigam.com.my/,sales@protigam.com.my,protigam.food@gmail.com,,Needs checking,Not Available,Sent
Importer,WW 0303,FISHERGOLD COLD STORAGE SDN BHD,Malaysia,+60 4-501 0111,http://www.fishergoldgroup.com/,info@fishergoldgroup.com,,,Verified lead,Not Available,Sent
Importer,WW 0303,EB FROZEN FOOD SDN BHD,Malaysia,+60 4-504 1009,https://www.ebfood.com.my/,enquiry@ebfood.sg,info@everbest.my,,Verified lead,Not Available,Sent
Importer,WW 0303,J J GLOBAL EXPRESS SDN BHD,Malaysia,+60 4-508 3001,https://www.jjexpress.com.my/,info@jjexpress.com.my,,,Needs checking,Not Available,Sent
Importer,WW 0303,FAR EAST IMPORT EXPORT,Malaysia,+60 6-797 1313,http://www.far-east.com.my/,fareast@far-east.com.my,millionmiles29@gmail.com,,Verified lead,Not Available,Sent
Importer,WW 0303,WIN FAR TRADING SDN BHD,Malaysia,+60 7-388 3962,https://www.winfartrading.com/,winfartrading@yahoo.com,sales@winfartrading.com,,Verified lead,Not Available,Sent
Importer,WW 0303,KENKO FOOD SDN BHD,Malaysia,+60 7-509 5136,http://www.kenkofood.com.my/,enquiry@kenkofood.com.my,,,Verified lead,Not Available,Sent
Importer,WW 0303,PAK SOON FROZEN SEAFOODS SDN BHD,Malaysia,+60 7-511 5255,https://www.paksoonfrozenseafoods.com/usr/page.aspx?pgid=2,info@paksoonfrozenseafoods.com,,,Verified lead,Not Available,Sent
Importer,WW 0303,T T FRESH SDN BHD,Malaysia,+60 7-555 9096,http://www.tfruit.com.my/,info@tfruit.com.my,,,Needs checking,Not Available,Sent
Importer,WW 0303,OAL FREIGHT FORWARDING AGENCY,Malaysia,+60 7-557 6099,http://www.oal.com.my/,lim@oal.com.my,freddy.chin@oal.com.my,,Needs checking,Not Available,Sent
Importer,WW 0303,BEST GROUP TRADING SERVICE CO LTD,Philippines,+63 2 7987 6543,http://bgstcorp.com/,info@bgstcorp.com,,,Needs checking,Not Available,Sent
Importer,WW 0303,SLORD DEVELOPMENT CORPORATION,Philippines,+63 2 8281 9453,http://www.slord.com.ph/,sales@slord.com.ph,,,Verified lead,Not Available,Sent
Importer,WW 0303,FOODSPHERE INC TRI FOODSPHERE INC C D O FOODSPHERE INC,Philippines,+63 2 8293 5077,https://cdo.com.ph/,customercare@cdo.com.ph,,,Verified lead,Not Available,Sent
Importer,WW 0303,JESS AQUA MARINE,Philippines,+63 2 8511 8104,http://www.jamtigroup.net/,info@jamtigroup.net,,,Verified lead,Not Available,Sent
Importer,WW 0303,MANILA FISH DEALERS INC,Philippines,+63 2 8524 0006,http://www.midafood.com/,sales@midafood.com,,,Verified lead,Not Available,Sent
Importer,WW 0303,SEACHAMP FOODS CORPORATION,Philippines,+63 2 8815 4795,https://www.seachampfoods.com/,sales@seachampfoods.com,,,Verified lead,Not Available,Sent
Importer,WW 0303,WERDENBERG INTERNATIONAL CORPORATION,Philippines,+63 2 8840 3771,http://www.werdenberg.com/,wic@werdenberg.com,,,Verified lead,Not Available,Sent
Importer,WW 0303,SEA CREST MARINE S A,Philippines,+63 2 8856 5338,http://www.seacrestmaritime.com/,businessdev@seacrestmaritime.com,rose.decilos@seacrestmaritime.com,,Needs checking,Not Available,Sent
Importer,WW 0303,GENERAL TUNA CORP,Philippines,+63 83 554 4192,http://centurypacific.com.ph/,saguado@centurypacific.com.ph,hr.legal@centurypacific.com.ph,,Verified lead,Not Available,Sent
Importer,WW 0303,SEATRACE INTERNATIONAL INC,Philippines,+63 917 175 0601,https://seatraceinternational.com/,sales@seatrace.com,sales@seatraceinternational.com,,Verified lead,Available,Sent
Importer,WW 0303,PAN COASTAL TRADING INC,Philippines,+63 917 314 5546,http://pancoastal-intl.com/,cindy.tan@pancoastal-intl.com,pancoastal.sales@gmail.com,,Verified lead,Not Available,Sent
Importer,WW 0303,PAN FOOD CO LTD,Thailand,+66 2 026 3535,http://www.panfood.co.th/,marketing@panfood.co.th,panfoodmarketing@gmail.com,,Verified lead,Not Available,Sent
Importer,WW 0303,PHATTHANA SEAFOOD CO LTD,Thailand,+66 2 212 5524,http://www.ptngroup.com/,ptndomestic@ptngroup.com,,,Verified lead,Not Available,Sent
Importer,WW 0303,E K CO LTD,Thailand,+66 2 224 2587,http://www.eksoon.com/,sales@eksoon.com,,,Needs checking,Not Available,Sent
Importer,WW 0303,JALUX ASIA LTD,Thailand,+66 2 258 6531,https://www.as.jalux.com/,mailto.as@as.jalux.com,,,Needs checking,Not Available,Sent
Importer,WW 0303,KAH NAM CO LTD,Thailand,+66 2 399 3865,http://www.knhgroup.com/,khinnamhuat@knhgroup.com,,,Needs checking,Not Available,Sent
Importer,WW 0303,WORLD FOOD CHEMICAL CO LTD,Thailand,+66 2 420 7272,https://www.worldfoodinter.com/,info@worldfoodinter.com,,,Verified lead,Not Available,Sent
Importer,WW 0303,EASTERN DELIGHT FOODS CO LTD,Thailand,+66 2 579 7877,http://www.edfood.com/,marketing@edfood.com,,,Verified lead,Not Available,Sent
Importer,WW 0303,FREIGHT RANGERS CO LTD,Thailand,+66 2 744 3388,http://www.rangers.co.th/,pintoo@rangers.co.th,,,Needs checking,Not Available,Sent
Importer,WW 0303,SIAM FOOD SERVICES LIMITED,Thailand,+66 2 782 6099,https://www.siamfoodservices.com/,cspattaya@siamfoodservices.com,cskorat@siamfoodservices.com,,Verified lead,Not Available,Sent
Importer,WW 0303,ROYAL CAN INDUSTRIES CO LTD,Thailand,+66 34 419 333,http://www.rcithailand.com/,tthanachoti@rcithailand.com,supachok@rcithailand.com,,Verified lead,Not Available,Sent
Importer,WW 0303,UNICORD PUBLIC COMPANY LIMITED,Thailand,+66 34 424 437,http://www.seavaluegroup.com/,9804info@seavaluegroup.com,,,Verified lead,Not Available,Sent
Importer,WW 0303,NS SEAFOODS CO LTD,Thailand,+66 34 424 772,http://www.nsseafoods.com/,simon.belal@gmail.com,info@nsseafoods.com,,Verified lead,Not Available,Sent
Importer,WW 0303,KYOKUYO CO LTD,Thailand,+66 34 446 864,https://www.kgsf.co.th/,thekgsf@kgsf.co.th,,,Verified lead,Not Available,Sent
Importer,WW 0303,DAIKYO CO LTD,Thailand,+66 38 447 110,http://www.bigtoday.co.jp/,mizuka@bigtoday.co.jp,kitayama@bigtoday.co.jp,,Needs checking,Not Available,Sent
Importer,WW 0303,SANGMINTRADE CO LTD,Thailand,+66 64 276 2964,https://www.sangthaiglobal.com/,trade@sangthaiglobal.com,astigma@astigmatic.com,,Needs checking,Available,Sent
Importer,WW 0303,ASIA LOGISTICS CO LTD,Thailand,+66 74 225 560,http://www.asialogistics.co.th/,info@asialogistics.co.th,,,Needs checking,Not Available,Sent
Importer,WW 0303,RAFANO FROZEN FOODS COMPANY LIMITED,Thailand,+66 77 825 199,http://rff.co.th/,rff.aomgm@gmail.com,export_mk@rff.co.th,,Verified lead,Not Available,Sent
Importer,WW 0303,BANGKOK IMPORT EXPORT INC,Thailand,+66 86 788 0141,https://saraimportexport.com/,info@saraimportexport.com,,,Verified lead,Available,Sent
Importer,WW 0303,OCEAN TRADER CO LTD,Japan,+81 3-3808-1641,http://www.ocean-trader.co.jp/,ocean@ocean-trader.co.jp,,,Needs checking,Not Available,Sent
Importer,WW 0303,TOYOTA TSUSHO FOODS CORP,Japan,+81 3-4306-8541,https://www.toyotsu-shokuryo.com/,contact@toyotsu-shokuryo.com,,,Verified lead,Not Available,Sent
Importer,WW 0303,HABA SPED LOGISTICS JAPAN K K,Japan,+81 3-6434-0446,http://habasped.co.jp/,gian.silvani@habasped.org,,,Needs checking,Not Available,Sent
Importer,WW 0303,MOWI JAPAN CO LTD,Japan,+81 476-20-0231,https://mowi.com/jp/,media@mowi.com,norway@mowi.com,,Needs checking,Not Available,Sent
Importer,WW 0303,FOOD LIFE COMPANIES LTD,Japan,+81 6-6368-1001,https://food-and-life.co.jp/,flc.recruit@food-and-life.co.jp,,,Verified lead,Not Available,Sent
Importer,WW 0303,LOTOS CORPORATION OSAKA BRANCH,Japan,+81 6-6624-9404,http://www.lotos.co.jp/j_sub01/sub01.php,sales@lotos.co.jp,,,Needs checking,Not Available,Sent
Importer,WW 0303,ZENSUI CO LTD,Japan,+81 72-654-3743,https://www.zensui.co.jp/,info@zensui.co.jp,,,Needs checking,Not Available,Sent
Importer,WW 0303,FAR ISLANDS CORP,South Korea,+82 10-3968-6098,https://far-island.com/,info@far-island.com,,,Needs checking,Available,Sent
Importer,WW 0303,KOREA FISHERIES,South Korea,+82 2-2254-8000,http://www.susansijang.co.kr/,hyonejun@esoftone.co.kr,,,Needs checking,Not Available,Sent
Importer,WW 0303,HEE CHANG TRADE CO LTD,South Korea,+82 51-241-4103,http://www.heechangtrade.com/,info@heechangtrade.com,,,Needs checking,Not Available,Sent
Importer,WW 0303,HAE SUNG CO LTD,South Korea,+82 51-831-1400,http://www.marinmax.co.kr/,info@marinmax.co.kr,,,Needs checking,Not Available,Sent
Importer,WW 0303,CÔNG TY CỔ PHẦN THỰC PHẨM ĐẠI THUẬN,Vietnam,+84 1900 232380,https://daithuan.vn/,admin.dn@daithuan.vn,adminhanoi@daithuan.vn,,Needs checking,Not Available,Sent
Importer,WW 0303,CTY TNHH TOÀN THẮNG,Vietnam,+84 1900 6968,http://toanthangcar.com/,support@toanthangcar.com,,,Needs checking,Not Available,Sent
Importer,WW 0303,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ UOSHO VIETNAM,Vietnam,+84 1900 9043,https://giadungeus.com/,manager.eus@gmail.com,,,Needs checking,Not Available,Sent
Importer,WW 0303,QUANGNINH SEAPRODUCTS IMPORT EXPORT COMPANY,Vietnam,+84 203 3825 190,http://www.quangninhseaprodex.com.vn/,uyent72@gmail.com,congluong81@gmail.com,,Needs checking,Not Available,Sent
Importer,WW 0303,CÔNG TY TNHH WELSTORY VIỆT NAM,Vietnam,+84 222 3699 930,http://welstory.vn/,cskh.welv@samsung.com,,,Needs checking,Not Available,Sent
Importer,WW 0303,SAMSUNG C T AMERICA INC,United States,+1 201-229-4000,,,,,Lead,Not Available,
Importer,WW 0303,IRONFISH SEAFOOD TRADING,United States,+1 201-266-0531,https://seafoodimports.com/,,,,Needs checking,Not Available,
Importer,WW 0303,ИНСУНГ КОРПОРЕЙШН,United States,+1 201-313-7999,http://insyncoutsourcing.com/,,,,Needs checking,Not Available,
Importer,WW 0303,TRANSMODAL CORPORATION,United States,+1 201-316-1600,http://www.transmodal.net/,info@transmodal.net,,,Needs checking,Not Available,
Importer,WW 0303,SCHREIBER FOODS INTERNATIONAL INC,United States,+1 201-327-3535,https://www.ambrosia-foods.com/,,,,Needs checking,Not Available,
Importer,WW 0303,GRACEKENNEDY FOODS USA LLC DBA L,United States,+1 201-329-6260,https://www.gracekennedy.com/,,,,Verified lead,Not Available,
Importer,WW 0303,INTERNATIONAL LAM SHENG KEE INC,United States,+1 201-332-8889,https://lamshengkeeglobal.com/english/,,,,Needs checking,Not Available,
Importer,WW 0303,DULUTH TRADE CO,United States,+1 201-335-0405,https://www.duluthtrading.com/locations/?StoreID=043&street-address=1300NJ-17&city=Ramsey&srccode=WBGMB19,,,,Needs checking,Not Available,
Importer,WW 0303,COMATRADE CROP,United States,+1 201-337-0014,https://comtradeintl.com/,,,,Needs checking,Not Available,
Importer,WW 0303,EASTERN FRESH NJ LLC,United States,+1 201-339-1010,,,,,Lead,Not Available,
Importer,WW 0303,TANISHA INTERNATIONAL,United States,+1 201-357-7354,https://sites.google.com/view/notaryservicesandmore/home,,,,Needs checking,Not Available,
Importer,WW 0303,DGM LLC,United States,+1 201-362-1656,,,,,Lead,Available,
Importer,WW 0303,HANWA AMERICAN CORP,United States,+1 201-363-4500,https://hanwa-usa.com/,hamco-info@hanwa.co.jp,,,Needs checking,Not Available,
Importer,WW 0303,DELIGHT FOODS LLC,United States,+1 201-369-1199,http://www.dailydelight.com/,,,,Needs checking,Not Available,
Importer,WW 0303,AZUMA FOODS INTERNATIONAL INC,United States,+1 201-372-1112,https://azumafoods.com/,,,,Verified lead,Not Available,
Importer,WW 0303,DISTRIBUIDORA DE PESCADOS Y,United States,+1 201-392-1091,http://instagram.com/made_in_ecuador,,,,Needs checking,Not Available,
Importer,WW 0303,PHIL S TRADING INC,United States,+1 201-420-8595,http://www.phil-am.com/,,,,Verified lead,Not Available,
Importer,WW 0303,YAMA SEAFOOD INC,United States,+1 201-433-3888,https://shop.yamaseafood.com/,support@yamaseafood.com,,,Verified lead,Not Available,
Importer,WW 0303,PIONEER PRODUCE INC,United States,+1 201-436-8897,,,,,Lead,Not Available,
Importer,WW 0303,CLC GOURMET FOODS INC,United States,+1 201-438-7440,,,,,Lead,Not Available,
Importer,WW 0303,GRAND SHRIMPIN TRADING INC,United States,+1 201-438-9339,http://www.grantradeinc.com/,sales.grantrade@gmail.com,grantrade@gmail.com,,Needs checking,Not Available,
Importer,WW 0303,MISONO FOOD LTD,United States,+1 201-440-1234,,,,,Lead,Not Available,
Importer,WW 0303,AFRICAN IMPORT LLC,United States,+1 201-457-1995,http://www.africaimports.com/,contact@africaimports.com,,,Needs checking,Not Available,
Importer,WW 0303,AMERICAN SHIPPING COMPANY INC,United States,+1 201-478-4600,http://www.shipamerican.com/,,,,Needs checking,Not Available,
Importer,WW 0303,KORYEO INTERNATIONAL CORP,United States,+1 201-479-2041,http://www.luckydelight.com/,,,,Verified lead,Not Available,
Importer,WW 0303,DAESANG AMERICA INC,United States,+1 201-488-4010,,,,,Lead,Not Available,
Importer,WW 0303,INTERNATIONAL GOURMET FISHERIES IN,United States,+1 201-488-8982,,,,,Lead,Not Available,
Importer,WW 0303,HARAM CHRISTENSEN CORP,United States,+1 201-507-8544,http://www.haramchris.com/,sales@haramchris.com,,,Needs checking,Not Available,
Importer,WW 0303,INTERGLOBO NORTH AMERICA INC,United States,+1 201-526-6374,http://www.interglobo.com/,india@interglobo.com,corporatecommunication@interglobo.com,,Verified lead,Not Available,
Importer,WW 0303,UORIKI FRESH INC,United States,+1 201-537-0306,,,,,Lead,Not Available,
Importer,WW 0303,SEOUL TRADE USA CO,United States,+1 201-567-7780,http://www.seoultradingusa.com/,,,,Verified lead,Not Available,
Importer,WW 0303,AMERICAN SEAFOOD IMPORT INC,United States,+1 201-568-2525,http://www.americanseafoodimports.com/,,,,Verified lead,Not Available,
Importer,WW 0303,1 CAMERICAN INTERNATIONAL INC,United States,+1 201-587-0101,http://www.camerican.com/,info@camerican.com,,,Verified lead,Not Available,
Importer,WW 0303,J E S FORWARDING INC,United States,+1 201-595-0474,https://www.jesforwarding.com/,,,,Needs checking,Not Available,
Importer,WW 0303,LX PANTOS LOGISTICS TAIWAN CO LTD,United States,+1 201-627-1600,http://www.lxpantos.com/,,,,Needs checking,Not Available,
Importer,WW 0303,GLODEN SKY TRADING CO,United States,+1 201-636-2730,https://www.bellatiquehair.com/,,,,Needs checking,Not Available,
Importer,WW 0303,UNIFOOD,United States,+1 201-641-3000,https://www.unifoodsus.com/,info@unifoodsus.com,sales@unifoodsus.com,,Verified lead,Not Available,
Importer,WW 0303,WOO JIN KANG,United States,+1 201-658-5669,,,,,Lead,Not Available,
Importer,WW 0303,CENTRAL FISH LLC,United States,+1 201-659-7474,,,,,Lead,Not Available,
Importer,WW 0303,RONY REYES,United States,+1 201-659-8600,http://www.kwcitylifehoboken.com/,,kwcitylifereception@kw.com,,Needs checking,Not Available,
Importer,WW 0303,JACLYN INC,United States,+1 201-662-6212,,,,,Lead,Not Available,
Importer,WW 0303,INTERSEA FISHERIES WEST INC,United States,+1 201-692-9000,,,,,Lead,Not Available,
Importer,WW 0303,TRUTH LOGISTICS CORP,United States,+1 201-706-7016,,,,,Lead,Not Available,
Importer,WW 0303,J F M COMPANY TOO,United States,+1 201-726-6473,,,,,Lead,Available,
Importer,WW 0303,SEAFRIGO LOGISTICS,United States,+1 201-770-1143,https://seafrigo-america.com/,,,,Needs checking,Not Available,
Importer,WW 0303,SH Y INTERNATIONAL INC,United States,+1 201-777-7200,https://yinternational.us.com/,,,,Verified lead,Not Available,
Importer,WW 0303,PIM BRANDS INC,United States,+1 201-784-5800,https://pimbrands.com/,,,,Verified lead,Not Available,
Importer,WW 0303,EASTERN FISH COMPANY LLC,United States,+1 201-801-0800,http://www.easternfish.com/,seafood@easternfish.com,,,Verified lead,Not Available,
Importer,WW 0303,BLG COLD STORAGE LOGISTICS,United States,+1 201-804-9988,,,,,Lead,Not Available,
Importer,WW 0303,LG ELECTRONICS USA,United States,+1 201-816-2000,http://www.lg.com/,,,,Needs checking,Not Available,
Importer,WW 0303,GOLDEN FORTUNE IMPORT AND EXPORT,United States,+1 201-823-0800,https://www.goldenfortuneusa.com/,,,,Verified lead,Not Available,
Importer,WW 0303,RODMAN MKTG AND AGRI PROD CORP,United States,+1 201-825-2552,http://rodmanmedia.com/,,,,Needs checking,Not Available,
Importer,WW 0303,YOM TOV INC,United States,+1 201-843-3175,,,,,Lead,Not Available,
Importer,WW 0303,JOSEPH PRAT,United States,+1 201-845-5007,http://www.benporatyosef.org/,,,,Needs checking,Not Available,
Importer,WW 0303,J A KIRSCH CORP,United States,+1 201-862-0100,,,,,Lead,Not Available,
Importer,WW 0303,WHITE TOQUE LLC,United States,+1 201-863-2885,http://www.whitetoque.com/,,,,Verified lead,Not Available,
Importer,WW 0303,COMERCIAL ORIENTAL SPA,United States,+1 201-868-2008,,,,,Lead,Not Available,
Importer,WW 0303,ESU FARM LLC,United States,+1 201-871-1222,http://www.esufarm.com/,,,,Needs checking,Not Available,
Importer,WW 0303,IMPORTER OF RECORD STERLING SEAFOOD CORP,United States,+1 201-871-3004,http://www.sterlingseafood.com/,info@sterlingseafood.com,,,Verified lead,Not Available,
Importer,WW 0303,JOHN KOW ODOOM,United States,+1 201-874-4523,,,,,Lead,Available,
Importer,WW 0303,AQUA ROYALE FOODS INC,United States,+1 201-880-9780,http://aquaroyalefoods.com/,,,,Verified lead,Not Available,
Importer,WW 0303,K2 TRADE INC,United States,+1 201-883-0801,http://ajusmart.com/,,,,Verified lead,Not Available,
Importer,WW 0303,VANDEGRIFT FORWARDING CO INC,United States,+1 201-915-9500,,,,,Lead,Not Available,
Importer,WW 0303,NEW YORK MUTUAL TRADE INCORPORATE,United States,+1 201-933-9555,http://www.nymtc.com/,ny.mtc@mutual.us,,,Needs checking,Not Available,
Importer,WW 0303,PARIS GOURMET OF NEW YORK,United States,+1 201-939-5656,http://www.parisgourmet.com/,info@parisgourmet.com,,,Verified lead,Not Available,
Importer,WW 0303,SUMMIT IMPORT CORP,United States,+1 201-985-9800,http://www.summit-import.com/,,,,Verified lead,Not Available,
Importer,WW 0303,PANAMERICAN FOODS CORP,United States,+1 201-991-9222,http://www.panamericanfoods.com/,info@panamericanfoods.com,panamericanfoodsllc@gmail.com,,Verified lead,Not Available,
Importer,WW 0303,FAMILY DELIGHT FOOD INC,United States,+1 201-997-7689,http://www.familyfooddist.com/,,,,Verified lead,Not Available,
